SiteID,StreamName,ProgID,Landmark,Type,Tags,SegID,ADBCode,ADBSegName,EcoRegionDesig,County,MajorBasin,DrainageArea,ThermalClass,HUC12,UTMNorth,UTMEast,LatDD,LonDD,IsRiffle,IsPublicLand,CurrentStatus
865,Middle Fork Grand River,MFGR2,Mount Ayr,Wadeable,TMDL,1378,IA 05-GRA-0180_0,Middle Fork Grand River,40a,Ringgold,Missouri,29.169,Warm Water,huc102801010302,4496685,388400,40.61345,-94.31927,N/A,False,Survey Site
866,Middle Fork Grand River,MFGR3,Mount Ayr,Wadeable,TMDL,1378,IA 05-GRA-0180_0,Middle Fork Grand River,40a,Ringgold,Missouri,36.761,Warm Water,huc102801010302,4494780,388176,40.59626,-94.32158,N/A,False,Survey Site
867,Middle Fork Grand River,MFGR4,Mount Ayr,Wadeable,TMDL,1378,IA 05-GRA-0180_0,Middle Fork Grand River,40a,Ringgold,Missouri,11.088,Warm Water,huc102801010301,4500740,393099,40.65059,-94.26442,N/A,False,Survey Site
868,Willow Creek,Site 2,Royal,Wadeable,TMDL,6299,IA 06-LSR-0224_0,Willow Creek,47a,Clay,Missouri,39.476,Warm Water,huc102300030902,4765351,313687,43.018,-95.28643,N/A,False,Survey Site
869,Cedar River,,Palo (dstr of DAEC),Non-wadeable,2011 Nutrient (WW),457,IA 02-CED-0030_3,Cedar River,47c,Linn,Mississippi,6237.74,Warm Water,huc070802051504,4660525,601187,42.09028,-91.77647,Undetermined,False,Survey Site
870,Unnamed Tributary to Willow Creek,,Collins,Headwater,Headwater Reference Study,6504,IA 03-SSK-0049_0,Unnamed Tributary to Willow Creek,47b,Story,Mississippi,3.988,Warm Water,huc070801050701,4640212,479902,41.9136,-93.24235,No,False,Candidate Reference Site
871,Unnamed Tributary to Ninemile Creek,,Macksburg,Headwater,Headwater Reference Study,6506,IA 05-GRA-0066_0,Unnamed Tributary to Ninemile Creek,47f,Adair,Missouri,5.758,Warm Water,huc102801020202,4568252,390979,41.25833,-94.30138,N/A,False,Candidate Reference Site
872,Unnamed Tributary to Waterman Creek,,Sutherland,Headwater,Headwater Reference Study,6507,IA 06-LSR-0203_0,Unnamed Tributary to Waterman Creek,47a,Obrien,Missouri,4.542,Warm Water,huc102300031004,4766697,301907,43.02713,-95.43135,N/A,False,Candidate Reference Site
873,Montgomery Creek,HWR1,Gilbert,Headwater,Headwater Reference Study,6508,IA 03-SSK-0170_0,Montgomery Creek,47b,Boone,Mississippi,15.566,Warm Water,huc070801050303,4664599,436703,42.13094,-93.76586,Yes,False,Candidate Reference Site
874,Redmans Branch,,Dekalb WMA,Headwater,Headwater Reference Study,6509,IA 05-GRA-0125_0,Redmans Branch,40a,Decatur,Missouri,5.343,Warm Water,huc102801020304,4521277,428099,40.83938,-93.85285,N/A,True,Candidate Reference Site
875,Unnamed Tributary to Big Sioux River,,Inwood,Headwater,Headwater Reference Study,6510,IA 06-BSR-0111_0,Unnamed Creek,47a,Lyon,Missouri,5.862,Warm Water,huc101702031904,4798783,216266,43.28839,-96.49731,N/A,False,Candidate Reference Site
876,Unnamed Tributary to Floyd River,,Merrill,Headwater,Headwater Reference Study,6511,IA 06-FLO-0100_0,Unnamed Tributary to Floyd River,47a,Plymouth,Missouri,3.068,Warm Water,huc102300020502,4733942,235276,42.71235,-96.23263,N/A,False,Candidate Reference Site
877,Beaver Creek,,Akron,Headwater,Headwater Reference Study,6512,IA 06-BSR-0015_0,Beaver Creek,47a,Plymouth,Missouri,4.685,Warm Water,huc101702032502,4749588,213644,42.84524,-96.50426,N/A,False,Candidate Reference Site
878,Unnamed Tributary to Linn Creek,,State Center,Headwater,Headwater Reference Study,6513,IA 02-IOW-0245_0,Unnamed Tributary to Linn Creek,47f,Marshall,Mississippi,4.478,Warm Water,huc070802080101,4653175,493456,42.03058,-93.07905,N/A,False,Candidate Reference Site
879,Unnamed Tributary to Little Volga,,Maynard,Headwater,Headwater Reference Study,6514,IA 01-VOL-170_0,Unnamed Tributary to Little Volga,47c,Fayette,Mississippi,7.371,Warm Water,huc070600040503,4740635,589803,42.813,-91.90156,No,False,Candidate Reference Site
880,Sage Creek,,Stephens Forest,Headwater,Headwater Reference Study,6515,IA 04-LDM-0182_0,Sage Creek,40a,Monroe,Mississippi,6.884,Warm Water,huc071000090201,4551783,493677,41.11731,-93.07531,N/A,True,Candidate Reference Site
881,Unnamed Tributary to South Soap Creek,,Unionville,Headwater,Headwater Reference Study,6516,IA 04-LDM-0117_0,Unnamed Tributary to South Soap Creek,40a,Appanoose,Mississippi,3.186,Warm Water,huc071000090601,4521848,525603,40.84727,-92.69627,N/A,False,Candidate Reference Site
882,West Otter Creek,,Center Point,Headwater,Headwater Reference Study,6517,IA 02-CED-02308_0,West Otter Creek,47c,Linn,Mississippi,11.195,Warm Water,huc070802051301,4673367,607214,42.20511,-91.70125,No,False,Candidate Reference Site
883,Wolf Creek,,Volga,Headwater,Headwater Reference Study,6518,IA 01-VOL-0107_0,Wolf Creek,52b,Clayton,Mississippi,3.338,Warm Water,huc070600040604,4741440,620531,42.81603,-91.52564,N/A,False,Candidate Reference Site
